City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Lubao,PH,80.15,broken clouds,14.9167,120.55,Hacienda Gracia
11,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
17,Lorengau,PG,81.27,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
18,Namatanai,PG,80.44,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
21,Chuy,UY,76.66,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
27,Kununurra,AU,80.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
29,Hithadhoo,MV,83.16,overcast clouds,-0.6,73.0833,Scoop Guest House
31,Rikitea,PF,75.2,light rain,-23.1203,-134.9692,People ThankYou
32,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
34,Gizo,SB,82.63,scattered clouds,-8.103,156.8419,Imagination Island
38,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
42,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
50,Bahia Honda,CU,88.14,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
52,Daru,PG,79.75,overcast clouds,-9.0763,143.2092,Daru Lodge
56,Biak,ID,76.77,scattered clouds,-0.9131,122.8766,Penginapan Kim
58,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Atuona,PF,78.15,clear sky,-9.8,-139.0333,Villa Enata
61,Doha,QA,84.09,clear sky,25.2867,51.5333,Movenpick Hotel Doha
66,Le Port,RE,75.2,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
69,Kavieng,PG,82.09,light rain,-2.5744,150.7967,Nusa Island Retreat
78,Morondava,MG,79.07,clear sky,-20.2833,44.2833,La Case Bambou
80,Labuhan,ID,80.2,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
84,Kismayo,SO,78.51,clear sky,-0.3582,42.5454,Agan-Hotel
89,Batangafo,CF,75.25,light rain,7.3008,18.2833,OCHA Office
92,Hilo,US,79.11,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
93,Claudio,BR,81.12,broken clouds,-20.4433,-44.7658,Hotel 3 Irmãos
94,Itarema,BR,84.49,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
97,Puerto Ayora,EC,76.96,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
101,Butaritari,KI,81.72,few clouds,3.0707,172.7902,Isles Sunset Lodge
102,Cabo San Lucas,MX,86.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
103,Rapar,IN,80.44,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
105,Vieux Fort,LC,87.15,haze,13.7167,-60.95,Cedar Palm Villa
114,Kantilo,IN,76.86,broken clouds,20.35,85.1833,Hostel Building at Kantilo Nilamadhaba Mahavidyalaya
118,Sulphur,US,75.18,clear sky,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
120,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
125,Sao Filipe,CV,78.94,overcast clouds,14.8961,-24.4956,Hotel Xaguate
126,Kavaratti,IN,81.07,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
127,Victoria,HK,77.38,broken clouds,22.2855,114.1577,Mini Hotel Central
133,Port Keats,AU,83.91,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
139,Curuca,BR,81.73,broken clouds,-0.7289,-47.8481,Hotel Curuça
148,Tabou,CI,78.66,overcast clouds,4.423,-7.3528,hotêl doufoulougou
152,Sorong,ID,80.87,broken clouds,-0.8833,131.25,waigo splash hotel
157,Bapatla,IN,76.48,overcast clouds,15.9,80.4667,Kumar Hotel
158,Sambava,MG,75.51,broken clouds,-14.2667,50.1667,Melrose
159,Necochea,AR,86.86,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
161,Meulaboh,ID,78.22,overcast clouds,4.1363,96.1285,Kost Pria
164,San Quintin,MX,75.87,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
166,Bayshore Gardens,US,82.17,overcast clouds,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
168,Gigmoto,PH,79.27,broken clouds,13.7796,124.39,Cj's Travellers Inn
169,Linhares,BR,80.22,broken clouds,-19.3911,-40.0722,Hotel Conceição
177,Conde,BR,85.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
178,Cayenne,GF,87.84,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
183,Bilma,NE,85.96,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
184,Faanui,PF,78.69,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
