City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,71.58,74,0,16.2,clear sky
1,Santa Cruz Del Sur,CU,20.7147,-77.9956,85.68,67,100,15.57,overcast clouds
2,Barrow,US,71.2906,-156.7887,23.02,86,90,11.5,light snow
3,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,2,9.13,clear sky
4,Sakaiminato,JP,35.55,133.2333,60.78,51,75,14.97,broken clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,100,90,3.44,light snow
6,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,93,75,2.24,broken clouds
7,Saldanha,ZA,-33.0117,17.9442,62.65,89,2,8.63,clear sky
8,Jamestown,US,42.097,-79.2353,64.02,57,1,7.0,clear sky
9,Lebu,CL,-37.6167,-73.65,58.35,77,0,15.52,clear sky
10,Lubao,PH,14.9167,120.55,80.15,83,60,8.72,broken clouds
11,Bambous Virieux,MU,-20.3428,57.7575,75.22,83,20,10.36,few clouds
12,Cape Town,ZA,-33.9258,18.4232,66.09,71,0,1.99,clear sky
13,Kaitangata,NZ,-46.2817,169.8464,52.09,90,61,2.8,broken clouds
14,Port Alfred,ZA,-33.5906,26.891,67.46,96,100,0.2,moderate rain
15,Iaciara,BR,-14.0958,-46.6317,94.41,23,59,8.14,broken clouds
16,Ponta Do Sol,PT,32.6667,-17.1,73.0,71,100,7.07,overcast clouds
17,Lorengau,PG,-2.0226,147.2712,81.27,78,100,4.85,overcast clouds
18,Namatanai,PG,-3.6667,152.4333,80.44,78,97,7.2,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,62.26,31,20,16.11,few clouds
20,Bredasdorp,ZA,-34.5322,20.0403,60.12,82,67,3.44,light rain
21,Chuy,UY,-33.6971,-53.4616,76.66,53,0,11.9,clear sky
22,Bluff,NZ,-46.6,168.3333,54.64,88,34,2.89,scattered clouds
23,Nantucket,US,41.2835,-70.0995,53.71,79,90,21.85,overcast clouds
24,Mataura,NZ,-46.1927,168.8643,50.59,92,17,2.82,few clouds
25,Chokurdakh,RU,70.6333,147.9167,-9.29,96,90,4.09,overcast clouds
26,Mar Del Plata,AR,-38.0023,-57.5575,93.22,85,0,13.0,clear sky
27,Kununurra,AU,-15.7667,128.7333,80.58,78,40,6.91,scattered clouds
28,Meihekou,CN,42.5272,125.6753,38.66,61,0,3.51,clear sky
29,Hithadhoo,MV,-0.6,73.0833,83.16,75,100,15.66,overcast clouds
30,Korla,CN,41.7597,86.1469,48.74,41,69,1.9,broken clouds
31,Rikitea,PF,-23.1203,-134.9692,75.2,81,96,13.11,light rain
32,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,83,75,13.8,broken clouds
33,Komsomolskiy,UZ,40.4272,71.7189,50.72,57,100,4.61,overcast clouds
34,Gizo,SB,-8.103,156.8419,82.63,73,45,7.87,scattered clouds
35,Busselton,AU,-33.65,115.3333,40.05,83,17,8.34,few clouds
36,Kanigoro,ID,-8.13,112.219,74.43,94,100,1.48,overcast clouds
37,Castro,BR,-24.7911,-50.0119,69.37,80,85,9.04,overcast clouds
38,Georgetown,MY,5.4112,100.3354,78.73,89,40,1.99,scattered clouds
39,Hermanus,ZA,-34.4187,19.2345,62.91,91,10,3.2,clear sky
40,Fortuna,US,40.5982,-124.1573,70.93,69,1,3.0,clear sky
41,Atlantic City,US,39.3643,-74.4229,66.33,73,90,10.36,overcast clouds
42,Salalah,OM,17.0151,54.0924,80.69,74,40,3.44,scattered clouds
43,Suffolk,US,40.8668,-72.7996,58.89,74,90,5.01,overcast clouds
44,Esperance,AU,-33.8667,121.9,49.84,73,87,8.52,overcast clouds
45,Talnakh,RU,69.4865,88.3972,-5.64,96,100,9.28,overcast clouds
46,Leningradskiy,RU,69.3833,178.4167,5.99,90,100,10.2,overcast clouds
47,Kargasok,RU,59.0556,80.8572,33.21,67,100,16.11,overcast clouds
48,Severo-Yeniseyskiy,RU,60.3725,93.0408,19.62,86,100,7.29,overcast clouds
49,Upernavik,GL,72.7868,-56.1549,19.42,58,91,4.83,overcast clouds
50,Bahia Honda,CU,22.9036,-83.1592,88.14,62,100,12.97,overcast clouds
51,Punta Arenas,CL,-53.15,-70.9167,60.91,51,75,16.11,broken clouds
52,Daru,PG,-9.0763,143.2092,79.75,82,100,10.83,overcast clouds
53,Flinders,AU,-34.5833,150.8552,68.2,78,100,1.01,overcast clouds
54,Ladario,BR,-19.0047,-57.6017,95.29,38,75,4.61,broken clouds
55,New Norfolk,AU,-42.7826,147.0587,47.75,79,100,5.01,light rain
56,Biak,ID,-0.9131,122.8766,76.77,82,41,0.96,scattered clouds
57,Provideniya,RU,64.3833,-173.3,13.37,85,100,4.27,overcast clouds
58,Kapaa,US,22.0752,-159.319,78.78,98,90,4.61,light rain
59,Atuona,PF,-9.8,-139.0333,78.15,70,0,16.26,clear sky
60,Khatanga,RU,71.9667,102.5,-2.69,97,100,8.81,overcast clouds
61,Doha,QA,25.2867,51.5333,84.09,68,0,3.44,clear sky
62,Peachland,CA,49.7665,-119.7357,46.38,92,100,1.88,light rain
63,Warrington,GB,53.3925,-2.5802,58.48,92,75,1.99,light rain
64,Ilulissat,GL,69.2167,-51.1,21.22,58,40,13.8,scattered clouds
65,Bozoum,CF,6.3193,16.3799,72.88,84,9,1.23,clear sky
66,Le Port,RE,-20.9373,55.2919,75.2,96,2,11.3,light rain
67,Cherskiy,RU,68.75,161.3,-15.03,93,74,3.87,broken clouds
68,Gambela,ET,8.25,34.5833,72.55,93,100,2.66,moderate rain
69,Kavieng,PG,-2.5744,150.7967,82.09,76,60,9.37,light rain
70,Vozhega,RU,60.4725,40.2213,25.92,77,60,3.51,broken clouds
71,Vasto,IT,42.1243,14.7059,48.56,79,99,4.29,overcast clouds
72,Albany,US,42.6001,-73.9662,60.8,73,0,2.53,clear sky
73,Chapleau,CA,47.8405,-83.4034,50.09,66,75,8.05,broken clouds
74,Poronaysk,RU,49.2167,143.1167,35.17,84,8,14.5,clear sky
75,Karasjok,NO,69.4719,25.5112,28.51,99,100,7.61,light snow
76,La Ronge,CA,55.1001,-105.2842,46.65,49,1,6.91,clear sky
77,Qaanaaq,GL,77.484,-69.3632,21.27,92,100,8.01,overcast clouds
78,Morondava,MG,-20.2833,44.2833,79.07,42,4,14.05,clear sky
79,Vaini,TO,-21.2,-175.2,73.56,83,75,6.91,broken clouds
80,Labuhan,ID,-6.8844,112.2051,80.2,82,100,5.97,light rain
